(BH_Max),Anisotropy Constant K1,Anisotropy Constant K2,Anisotropy_Energy,Anisotropy_Field,Coercivity,Crystal_Structure,Curie(TC),Curie_Weiss,DOI,Experimental,Intrinsic Coercivity,Lattice_Parameter,Lattice_Structure,Magnet_type,Magnetic_type,Material_Density,Material_Name,Material_Type,Neel(TN),Remanence_Magnetization,Saturation_Magnetization,Space_Group,Substrate,Thickness
,,,,,,,,,10.1016/j.jmmm.2008.02.167,true,,,,Soft,Ferromagnetic,,Fe-Cr-B,Bulk,,,"{'Value': '114', 'Units': 'emu/g', 'Temperature': 'Room Temperature'}",,,
,,,,,,,,,10.1016/j.jmmm.2008.02.167,true,,,,Soft,Ferromagnetic,,Fe-Ni-B,Bulk,,,"{'Value': '96', 'Units': 'emu/g', 'Temperature': 'Room Temperature'}",,,
,,,,,,Amorphous,,,10.1016/j.cscee.2023.100378,true,,,,Soft,Superparamagnetic,,Activated Carbon Magnetite Composite,Bulk,,,"{'Value': '14.06', 'Units': 'emu/g', 'Temperature': '24.8 °C'}",,,
,,,,,"{'Value': '10.6-49.5', 'Units': 'Oe', 'Temperature': 'Room Temperature'}",FCC inverse spinel,,,10.1016/j.ceramint.2008.11.027,true,,,Cubic,Soft,Ferromagnetic,,Chromium-substituted Lithium Ferrite,Bulk,,"{'Value': '1.17-1.72', 'Units': 'emu/g', 'Temperature': 'Room Temperature'}","{'Value': '38.9-9.9', 'Units': 'emu/g', 'Temperature': 'Room Temperature'}",P 4_3 32,,
,,,,,"{'Value': '1.5', 'Units': 'mT', 'Temperature': 'NA'}",,,,10.1016/S0304-8853(00)00066-4,true,,,,Soft,Ferromagnetic,,Ni(Fe) Alloy,Bulk,,,,,,
,,,,,"{'Value': '1.5', 'Units': 'mT', 'Temperature': 'NA'}",,,,10.1016/S0304-8853(00)00066-4,true,,,,Soft,Ferromagnetic,,Ni(Fe) Alloy,Bulk,,,,,,
,"{'Value': '3887.78', 'Units': 'erg/cc', 'Type': 'NA', 'Temperature': 'NA'}",,,,"{'Value': '99.63', 'Units': 'Oe', 'Temperature': 'NA'}",Cubic Spinel,,,10.1016/j.jmmm.2023.171496,true,,"{'a': '8.347', 'b': 'NA', 'c': 'NA'}",,Soft,Superparamagnetic,4.96 g/cm^3,MNF,Bulk,,"{'Value': '4.43', 'Units': 'emu/g', 'Temperature': 'NA'}","{'Value': '37.45', 'Units': 'emu/g', 'Temperature': 'NA'}",,,
,"{'Value': '1862.93', 'Units': 'erg/cc', 'Type': 'NA', 'Temperature': 'NA'}",,,,"{'Value': '54.91', 'Units': 'Oe', 'Temperature': 'NA'}",Cubic Spinel,,,10.1016/j.jmmm.2023.171496,true,,"{'a': '8.353', 'b': 'NA', 'c': 'NA'}",,Soft,Superparamagnetic,5.00 g/cm^3,MNCE1,Bulk,,"{'Value': '1.75', 'Units': 'emu/g', 'Temperature': 'NA'}","{'Value': '32.57', 'Units': 'emu/g', 'Temperature': 'NA'}",,,
,"{'Value': '1346.91', 'Units': 'erg/cc', 'Type': 'NA', 'Temperature': 'NA'}",,,,"{'Value': '50.47', 'Units': 'Oe', 'Temperature': 'NA'}",Cubic Spinel,,,10.1016/j.jmmm.2023.171496,true,,"{'a': '8.355', 'b': 'NA', 'c': 'NA'}",,Soft,Superparamagnetic,5.04 g/cm^3,MNCE2,Bulk,,"{'Value': '1.35', 'Units': 'emu/g', 'Temperature': 'NA'}","{'Value': '25.62', 'Units': 'emu/g', 'Temperature': 'NA'}",,,
,"{'Value': '1114.15', 'Units': 'erg/cc', 'Type': 'NA', 'Temperature': 'NA'}",,,,"{'Value': '38.53', 'Units': 'Oe', 'Temperature': 'NA'}",Cubic Spinel,,,10.1016/j.jmmm.2023.171496,true,,"{'a': '8.358', 'b': 'NA', 'c': 'NA'}",,Soft,Superparamagnetic,5.08 g/cm^3,MNCE3,Bulk,,"{'Value': '0.95', 'Units': 'emu/g', 'Temperature': 'NA'}","{'Value': '27.76', 'Units': 'emu/g', 'Temperature': 'NA'}",,,
,"{'Value': '1651.34', 'Units': 'erg/cc', 'Type': 'NA', 'Temperature': 'NA'}",,,,"{'Value': '51.79', 'Units': 'Oe', 'Temperature': 'NA'}",Cubic Spinel,,,10.1016/j.jmmm.2023.171496,true,,"{'a': '8.359', 'b': 'NA', 'c': 'NA'}",,Soft,Superparamagnetic,5.13 g/cm^3,MNCE4,Bulk,,"{'Value': '1.55', 'Units': 'emu/g', 'Temperature': 'NA'}","{'Value': '30.61', 'Units': 'emu/g', 'Temperature': 'NA'}",,,
,,,,,"{'Value': '142', 'Units': 'Oe', 'Temperature': 'Room Temperature'}",Mixed fcc and hcp,,,10.1016/j.jmmm.2015.08.080,true,,,,Soft,Ferromagnetic,,Co0.9Ni0.1,Bulk,,"{'Value': '21', 'Units': 'emu/g', 'Temperature': 'Room Temperature'}","{'Value': '119.5', 'Units': 'emu/g', 'Temperature': 'Room Temperature'}",,,
,,,,,,Hexagonal,300 K,,10.1016/j.cjph.2020.06.027,false,,"{'a': '7.14', 'b': 'NA', 'c': '4.97'}",,Soft,Ferromagnetic,,Mn5Ge3,Bulk,,,,P63/mcm,,
,,,,,,Hexagonal,400 K,,10.1016/j.cjph.2020.06.027,false,,,,Soft,Ferromagnetic,,Mn5Ge3Ox,Bulk,,,,P63/mcm,,
,,,,,"{'Value': '-0.01879', 'Units': 'G', 'Temperature': 'NA'}",Cubic inverse spinel,,,10.1016/j.matchemphys.2023.127620,true,,,,Soft,Superparamagnetic,,Magnetite,Bulk,,"{'Value': '3.5931', 'Units': 'emu/g', 'Temperature': 'NA'}","{'Value': '65.33', 'Units': 'emu/g', 'Temperature': 'NA'}",,,
,,,,,,Rhombohedral,,,10.1016/j.jallcom.2016.06.171,true,,"{'a': '5.5542', 'b': '5.5542', 'c': '13.7692'}",R3c,Soft,Antiferromagnetic,,Bi0.85Gd0.15FeO3,Bulk,,,"{'Value': '0.88', 'Units': 'emu/g', 'Temperature': 'Room Temperature'}",R3c,,
,,,,,,Orthorhombic,,,10.1016/j.jallcom.2016.06.171,true,,"{'a': '5.5717', 'b': '7.9095', 'c': '5.4412'}",Pn21a,Soft,Ferromagnetic,,Bi0.85Gd0.15Fe0.95Mn0.05O3,Bulk,,,"{'Value': '1.64', 'Units': 'emu/g', 'Temperature': 'Room Temperature'}",Pn21a,,
,,,,,,Orthorhombic,,,10.1016/j.jallcom.2016.06.171,true,,"{'a': '5.5502', 'b': '7.8069', 'c': '5.4278'}",Pn21a,Soft,Ferromagnetic,,Bi0.85Gd0.15Fe0.9Mn0.1O3,Bulk,,,"{'Value': '2.20', 'Units': 'emu/g', 'Temperature': 'Room Temperature'}",Pn21a,,
,,,,,,Orthorhombic,,,10.1016/j.jallcom.2016.06.171,true,,"{'a': '5.5872', 'b': '7.7987', 'c': '5.4518'}",Pn21a,Soft,Ferromagnetic,,Bi0.85Gd0.15Fe0.85Mn0.15O3,Bulk,,,"{'Value': '1.44', 'Units': 'emu/g', 'Temperature': 'Room Temperature'}",Pn21a,,
,,,,,,Tetragonal,Increases with Si substitution NA,,10.1016/0304-8853(88)90104-7,true,,,,Soft,Ferromagnetic,,Didymium2Fe12-xSixCo2B,Bulk,,,"{'Value': 'Decreases with Si substitution', 'Units': 'NA', 'Temperature': 'NA'}",,,
,,,,"{'Value': 'Increases', 'Units': 'NA', 'Type': 'NA', 'Temperature': 'NA'}",,Tetragonal,Decreases with V substitution NA,,10.1016/0304-8853(88)90104-7,true,,,,Soft,Ferromagnetic,,Didymium2Fe12-xVxCo2B,Bulk,,,"{'Value': 'Decreases with V substitution', 'Units': 'NA', 'Temperature': 'NA'}",,,
,,,,"{'Value': 'Increases', 'Units': 'NA', 'Type': 'NA', 'Temperature': 'NA'}",,Tetragonal,Decreases with Cr substitution NA,,10.1016/0304-8853(88)90104-7,true,,,,Soft,Ferromagnetic,,Didymium2Fe12-xCrxCo2B,Bulk,,,"{'Value': 'Decreases with Cr substitution', 'Units': 'NA', 'Temperature': 'NA'}",,,
,,,,"{'Value': 'Increases', 'Units': 'NA', 'Type': 'NA', 'Temperature': 'NA'}",,Tetragonal,Decreases with Ta substitution NA,,10.1016/0304-8853(88)90104-7,true,,,,Soft,Ferromagnetic,,Didymium2Fe12-xTaxCo2B,Bulk,,,"{'Value': 'Decreases with Ta substitution', 'Units': 'NA', 'Temperature': 'NA'}",,,
,,,,"{'Value': 'Increases', 'Units': 'NA', 'Type': 'NA', 'Temperature': 'NA'}",,Tetragonal,Decreases with W substitution NA,,10.1016/0304-8853(88)90104-7,true,,,,Soft,Ferromagnetic,,Didymium2Fe12-xWxCo2B,Bulk,,,"{'Value': 'Decreases with W substitution', 'Units': 'NA', 'Temperature': 'NA'}",,,
,,,,,"{'Value': '400', 'Units': 'Oe', 'Temperature': ''}",Hexagonal,,,10.1016/j.jmmm.2018.02.050,true,,,,Soft,Ferromagnetic,,Barium-Natural Ferrite (BNF0),Bulk,,"{'Value': '2.5', 'Units': 'emu/g', 'Temperature': ''}",,,,
,,,,,"{'Value': '400', 'Units': 'Oe', 'Temperature': ''}",Hexagonal,,,10.1016/j.jmmm.2018.02.050,true,,"{'a': '11.815', 'b': '11.815', 'c': '7.078'}",,Soft,Ferromagnetic,,Barium-Natural Ferrite (BNF1),Bulk,,"{'Value': '2.5', 'Units': 'emu/g', 'Temperature': ''}",,,,
,,,,,"{'Value': '400', 'Units': 'Oe', 'Temperature': ''}",Hexagonal,,,10.1016/j.jmmm.2018.02.050,true,,"{'a': '11.815', 'b': '11.815', 'c': '7.078'}",,Soft,Ferromagnetic,,Barium-Natural Ferrite (BNF2),Bulk,,"{'Value': '2.5', 'Units': 'emu/g', 'Temperature': ''}",,,,
,,,,,"{'Value': '400', 'Units': 'Oe', 'Temperature': ''}",Hexagonal,,,10.1016/j.jmmm.2018.02.050,true,,"{'a': '11.815', 'b': '11.815', 'c': '7.078'}",,Soft,Ferromagnetic,,Barium-Natural Ferrite (BNF3),Bulk,,"{'Value': '2.5', 'Units': 'emu/g', 'Temperature': ''}","{'Value': '9.0', 'Units': 'emu/g', 'Temperature': ''}",,,
,,,,,"{'Value': '49', 'Units': 'G', 'Temperature': 'NA'}",Face-centered cubic,,,10.1016/j.matchemphys.2024.129672,true,,,,Soft,Ferromagnetic,,NiFe2O4,Bulk,,"{'Value': '2.0', 'Units': 'emu/g', 'Temperature': 'NA'}","{'Value': '33', 'Units': 'emu/g', 'Temperature': 'NA'}",Fd3m,,
,"{'Value': '4.6e5', 'Units': 'erg/cm^3', 'Type': 'Cubic', 'Temperature': 'NA'}",,,,,,,,10.1016/j.physb.2019.411964,true,,,,Soft,Ferromagnetic,8.1 g/cm^3,FeCo,Bulk,,,"{'Value': '1960', 'Units': 'emu/cm^3', 'Temperature': 'NA'}",,,
,"{'Value': '10.896', 'Units': 'Oe', 'Type': 'NA', 'Temperature': 'NA'}",,,,"{'Value': '126.88', 'Units': 'Oe', 'Temperature': 'NA'}",Spinel cubic,,,10.1016/j.jmmm.2019.04.074,true,,"{'a': '7.4250', 'b': 'NA', 'c': 'NA'}",Cubic,Soft,Ferromagnetic,7.7769 g/cm^3,PNNF1,Bulk,,"{'Value': '1.54', 'Units': 'emu/g', 'Temperature': 'NA'}","{'Value': '84.16', 'Units': 'emu/g', 'Temperature': 'NA'}",,,
,"{'Value': '8.2949', 'Units': 'Oe', 'Type': 'NA', 'Temperature': 'NA'}",,,,"{'Value': '129.32', 'Units': 'Oe', 'Temperature': 'NA'}",Spinel cubic,,,10.1016/j.jmmm.2019.04.074,true,,"{'a': '7.4563', 'b': 'NA', 'c': 'NA'}",Cubic,Soft,Ferromagnetic,7.7360 g/cm^3,PNNF2,Bulk,,"{'Value': '1.45', 'Units': 'emu/g', 'Temperature': 'NA'}","{'Value': '62.86', 'Units': 'emu/g', 'Temperature': 'NA'}",,,
,"{'Value': '7.3152', 'Units': 'Oe', 'Type': 'NA', 'Temperature': 'NA'}",,,,"{'Value': '133.45', 'Units': 'Oe', 'Temperature': 'NA'}",Spinel cubic,,,10.1016/j.jmmm.2019.04.074,true,,"{'a': '7.4806', 'b': 'NA', 'c': 'NA'}",Cubic,Soft,Ferromagnetic,7.7168 g/cm^3,PNNF3,Bulk,,"{'Value': '1.20', 'Units': 'emu/g', 'Temperature': 'NA'}","{'Value': '53.72', 'Units': 'emu/g', 'Temperature': 'NA'}",,,
,"{'Value': '6.8763', 'Units': 'Oe', 'Type': 'NA', 'Temperature': 'NA'}",,,,"{'Value': '137.78', 'Units': 'Oe', 'Temperature': 'NA'}",Spinel cubic,,,10.1016/j.jmmm.2019.04.074,true,,"{'a': '7.5092', 'b': 'NA', 'c': 'NA'}",Cubic,Soft,Ferromagnetic,7.6845 g/cm^3,PNNF4,Bulk,,"{'Value': '1.13', 'Units': 'emu/g', 'Temperature': 'NA'}","{'Value': '48.91', 'Units': 'emu/g', 'Temperature': 'NA'}",,,
,"{'Value': '6.1932', 'Units': 'Oe', 'Type': 'NA', 'Temperature': 'NA'}",,,,"{'Value': '145.20', 'Units': 'Oe', 'Temperature': 'NA'}",Spinel cubic,,,10.1016/j.jmmm.2019.04.074,true,,"{'a': '7.5413', 'b': 'NA', 'c': 'NA'}",Cubic,Soft,Ferromagnetic,7.6415 g/cm^3,PNNF5,Bulk,,"{'Value': '1.09', 'Units': 'emu/g', 'Temperature': 'NA'}","{'Value': '41.80', 'Units': 'emu/g', 'Temperature': 'NA'}",,,
,,,,,,Cubic Laves phase,417 K,,10.1016/j.jmmm.2008.05.018,true,,,MgCu2-type,Soft,Ferromagnetic,,Nd1−xPrx(Fe0.35Co0.55B0.1)2,Bulk,,,"{'Value': '100.18', 'Units': 'emu/g', 'Temperature': '5 K'}",,,
,,,,,,Cubic Laves phase,398 K,,10.1016/j.jmmm.2008.05.018,true,,,MgCu2-type,Soft,Ferromagnetic,,Nd0.8Pr0.2(Fe0.35Co0.55B0.1)2,Bulk,,,"{'Value': '98.37', 'Units': 'emu/g', 'Temperature': '5 K'}",,,
,,,,,,Cubic Laves phase,384 K,,10.1016/j.jmmm.2008.05.018,true,,,MgCu2-type,Soft,Ferromagnetic,,Nd0.6Pr0.4(Fe0.35Co0.55B0.1)2,Bulk,,,"{'Value': '95.28', 'Units': 'emu/g', 'Temperature': '5 K'}",,,
,,,,,,Cubic Laves phase,373 K,,10.1016/j.jmmm.2008.05.018,true,,,MgCu2-type,Soft,Ferromagnetic,,Nd0.4Pr0.6(Fe0.35Co0.55B0.1)2,Bulk,,,"{'Value': '90.09', 'Units': 'emu/g', 'Temperature': '5 K'}",,,
,,,,,,Cubic Laves phase,351 K,,10.1016/j.jmmm.2008.05.018,true,,,MgCu2-type,Soft,Ferromagnetic,,Nd0.2Pr0.8(Fe0.35Co0.55B0.1)2,Bulk,,,"{'Value': '83.45', 'Units': 'emu/g', 'Temperature': '5 K'}",,,
,,,,,,Cubic Laves phase,326 K,,10.1016/j.jmmm.2008.05.018,true,,,MgCu2-type,Soft,Ferromagnetic,,Pr(Fe0.35Co0.55B0.1)2,Bulk,,,"{'Value': '74.33', 'Units': 'emu/g', 'Temperature': '5 K'}",,,
,"{'Value': '2.13E+05', 'Units': 'Erg/g', 'Type': 'NA', 'Temperature': 'NA'}",,,"{'Value': '8.47E6', 'Units': 'Oe^2', 'Type': 'NA', 'Temperature': 'NA'}","{'Value': '1418', 'Units': 'Oe', 'Temperature': 'NA'}",Hexagonal,,,10.1016/j.jallcom.2018.11.309,true,"{'Value': '11272', 'Units': 'Oe'}","{'a': '5.884', 'b': '5.884', 'c': '23.181'}",Magnetoplumbite,Hard,Ferromagnetic,,BaFe12O19,Bulk,,"{'Value': '17.10', 'Units': 'emu/g', 'Temperature': 'NA'}","{'Value': '37.86', 'Units': 'emu/g', 'Temperature': 'NA'}",,,
,"{'Value': '2.58E+05', 'Units': 'Erg/g', 'Type': 'NA', 'Temperature': 'NA'}",,,"{'Value': '8.67E6', 'Units': 'Oe^2', 'Type': 'NA', 'Temperature': 'NA'}","{'Value': '1650', 'Units': 'Oe', 'Temperature': 'NA'}",Hexagonal,,,10.1016/j.jallcom.2018.11.309,true,"{'Value': '11404', 'Units': 'Oe'}","{'a': '5.8841', 'b': '5.8841', 'c': '23.1886'}",Magnetoplumbite,Hard,Ferromagnetic,,BaCr0.3Fe11.7O19,Bulk,,"{'Value': '23.86', 'Units': 'emu/g', 'Temperature': 'NA'}","{'Value': '45.30', 'Units': 'emu/g', 'Temperature': 'NA'}",,,
,"{'Value': '2.44E+05', 'Units': 'Erg/g', 'Type': 'NA', 'Temperature': 'NA'}",,,"{'Value': '10.73E6', 'Units': 'Oe^2', 'Type': 'NA', 'Temperature': 'NA'}","{'Value': '780', 'Units': 'Oe', 'Temperature': 'NA'}",Hexagonal,,,10.1016/j.jallcom.2018.11.309,true,"{'Value': '12687', 'Units': 'Oe'}","{'a': '5.8848', 'b': '5.8848', 'c': '23.1938'}",Magnetoplumbite,Hard,Ferromagnetic,,BaCr0.6Fe11.4O19,Bulk,,"{'Value': '15.20', 'Units': 'emu/g', 'Temperature': 'NA'}","{'Value': '38.50', 'Units': 'emu/g', 'Temperature': 'NA'}",,,
,"{'Value': '1.89E+05', 'Units': 'Erg/g', 'Type': 'NA', 'Temperature': 'NA'}",,,"{'Value': '8.51E6', 'Units': 'Oe^2', 'Type': 'NA', 'Temperature': 'NA'}","{'Value': '980', 'Units': 'Oe', 'Temperature': 'NA'}",Hexagonal,,,10.1016/j.jallcom.2018.11.309,true,"{'Value': '11298', 'Units': 'Oe'}","{'a': '5.8849', 'b': '5.8849', 'c': '23.1950'}",Magnetoplumbite,Hard,Ferromagnetic,,BaCr1Fe11O19,Bulk,,"{'Value': '16.35', 'Units': 'emu/g', 'Temperature': 'NA'}","{'Value': '33.45', 'Units': 'emu/g', 'Temperature': 'NA'}",,,
,,,,,,Inverse Spinel,,,10.1016/j.jallcom.2008.08.129,true,,,Cubic,Soft,Ferrimagnetic,,Chromium-doped Ni-Zn Ferrite,Bulk,,,"{'Value': '43-53', 'Units': 'emu/g', 'Temperature': '25 °C'}",Fd3m,,
,,,,,,Orthorhombic,,,10.1016/S0921-4526(02)02076-8,true,,"{'a': '9.0126', 'b': '17.578', 'c': '33.924'}",,Soft,Ferrimagnetic,,BIPNNBNO,Bulk,,,"{'Value': '3 μB/f.u.', 'Units': 'μB/f.u.', 'Temperature': 'NA'}",Pbcn,,
,,,,,,Monoclinic,,,10.1016/S0921-4526(02)02076-8,true,,"{'a': '11.969', 'b': '9.499', 'c': '19.330'}",,Soft,Ferrimagnetic,,PIMBNO,Bulk,,,"{'Value': '1 μB/f.u.', 'Units': 'μB/f.u.', 'Temperature': 'NA'}",P21/m,,
,"{'Value': '19.2', 'Units': 'kJ/m^3', 'Type': 'NA', 'Temperature': 'NA'}",,,,,Cubic Spinel,,,10.1016/j.ceramint.2022.07.291,true,,"{'a': '8.4816', 'b': 'NA', 'c': 'NA'}",,Soft,Superparamagnetic,,ZnxMn1-xFe2O4,Bulk,,,"{'Value': '46.5', 'Units': 'emu/g', 'Temperature': '300 K'}",Fd-3m,,
,"{'Value': '65.6', 'Units': 'kJ/m^3', 'Type': 'NA', 'Temperature': 'NA'}",,,,,Cubic Spinel,,,10.1016/j.ceramint.2022.07.291,true,,"{'a': '8.4401', 'b': 'NA', 'c': 'NA'}",,Soft,Superparamagnetic,,ZnxMn1-xFe2O4,Bulk,,,"{'Value': '56.6', 'Units': 'emu/g', 'Temperature': '300 K'}",Fd-3m,,
,,,,,"{'Value': '19.2', 'Units': 'kA/m', 'Temperature': 'NA'}",Cubic,634 K,,10.1016/S0304-8853(00)00461-3,true,,"{'a': '0.7324', 'b': 'NA', 'c': 'NA'}",MgCu2-type,Soft,Ferromagnetic,,Tb0.5Pr0.5(Fe0.4Co0.6)1.9,Bulk,,"{'Value': '4.48', 'Units': 'Am^2/kg', 'Temperature': 'NA'}","{'Value': '29.0', 'Units': 'Am^2/kg', 'Temperature': 'NA'}",,,
,,,,,"{'Value': '80.2', 'Units': 'kA/m', 'Temperature': 'NA'}",Cubic,674 K,,10.1016/S0304-8853(00)00461-3,true,,"{'a': '0.7342', 'b': 'NA', 'c': 'NA'}",MgCu2-type,Soft,Ferromagnetic,,Tb0.5Pr0.5(Fe0.55Co0.45)1.9,Bulk,,"{'Value': '3.39', 'Units': 'Am^2/kg', 'Temperature': 'NA'}","{'Value': '5.37', 'Units': 'Am^2/kg', 'Temperature': 'NA'}",,,
,,,,,"{'Value': '82.6', 'Units': 'kA/m', 'Temperature': 'NA'}",Cubic,700 K,,10.1016/S0304-8853(00)00461-3,true,,"{'a': '0.7352', 'b': 'NA', 'c': 'NA'}",MgCu2-type,Soft,Ferromagnetic,,Tb0.5Pr0.5(Fe0.7Co0.3)1.9,Bulk,,"{'Value': '3.32', 'Units': 'Am^2/kg', 'Temperature': 'NA'}","{'Value': '4.56', 'Units': 'Am^2/kg', 'Temperature': 'NA'}",,,
,,,,,"{'Value': '84.0', 'Units': 'kA/m', 'Temperature': 'NA'}",Cubic,660 K,,10.1016/S0304-8853(00)00461-3,true,,"{'a': '0.7354', 'b': 'NA', 'c': 'NA'}",MgCu2-type,Soft,Ferromagnetic,,Tb0.5Pr0.5(Fe0.85Co0.15)1.9,Bulk,,"{'Value': '1.81', 'Units': 'Am^2/kg', 'Temperature': 'NA'}","{'Value': '2.93', 'Units': 'Am^2/kg', 'Temperature': 'NA'}",,,
,,,,,"{'Value': '96.2', 'Units': 'kA/m', 'Temperature': 'NA'}",Cubic,636 K,,10.1016/S0304-8853(00)00461-3,true,,"{'a': '0.7355', 'b': 'NA', 'c': 'NA'}",MgCu2-type,Soft,Ferromagnetic,,Tb0.5Pr0.5Fe1.9,Bulk,,"{'Value': '1.20', 'Units': 'Am^2/kg', 'Temperature': 'NA'}","{'Value': '2.46', 'Units': 'Am^2/kg', 'Temperature': 'NA'}",,,
,,,,,"{'Value': '73.20', 'Units': 'Oe', 'Temperature': 'NA'}",Cubic spinel,,,10.1016/j.apt.2014.04.006,true,,"{'a': '8.337', 'b': 'NA', 'c': 'NA'}",,Soft,Ferromagnetic,,Ni1-xCuxFe2O4,Bulk,,"{'Value': '10.39', 'Units': 'emu/g', 'Temperature': 'NA'}","{'Value': '39.46', 'Units': 'emu/g', 'Temperature': 'NA'}",,,
,,,,,"{'Value': '83.34', 'Units': 'Oe', 'Temperature': 'NA'}",Cubic spinel,,,10.1016/j.apt.2014.04.006,true,,"{'a': '8.346', 'b': 'NA', 'c': 'NA'}",,Soft,Ferromagnetic,,Ni0.8Cu0.2Fe2O4,Bulk,,"{'Value': '11.76', 'Units': 'emu/g', 'Temperature': 'NA'}","{'Value': '38.95', 'Units': 'emu/g', 'Temperature': 'NA'}",,,
,,,,,"{'Value': '72.09', 'Units': 'Oe', 'Temperature': 'NA'}",Cubic spinel,,,10.1016/j.apt.2014.04.006,true,,"{'a': '8.353', 'b': 'NA', 'c': 'NA'}",,Soft,Ferromagnetic,,Ni0.6Cu0.4Fe2O4,Bulk,,"{'Value': '9.79', 'Units': 'emu/g', 'Temperature': 'NA'}","{'Value': '31.46', 'Units': 'emu/g', 'Temperature': 'NA'}",,,
,,,,,"{'Value': '81.65', 'Units': 'Oe', 'Temperature': 'NA'}",Cubic spinel,,,10.1016/j.apt.2014.04.006,true,,"{'a': '8.362', 'b': 'NA', 'c': 'NA'}",,Soft,Ferromagnetic,,Ni0.4Cu0.6Fe2O4,Bulk,,"{'Value': '7.35', 'Units': 'emu/g', 'Temperature': 'NA'}","{'Value': '27.11', 'Units': 'emu/g', 'Temperature': 'NA'}",,,
,,,,,"{'Value': '74.55', 'Units': 'Oe', 'Temperature': 'NA'}",Cubic spinel,,,10.1016/j.apt.2014.04.006,true,,"{'a': '8.378', 'b': 'NA', 'c': 'NA'}",,Soft,Ferromagnetic,,Ni0.2Cu0.8Fe2O4,Bulk,,"{'Value': '5.7', 'Units': 'emu/g', 'Temperature': 'NA'}","{'Value': '22.00', 'Units': 'emu/g', 'Temperature': 'NA'}",,,
,,,,,"{'Value': '100', 'Units': 'Oe', 'Temperature': 'Room Temperature'}",,450 K,,10.1016/S0304-8853(03)00587-0,true,,,,Soft,Ferromagnetic,,Ni81Cu19,Bulk,,,,,,
,,,,,"{'Value': '10', 'Units': 'A/m', 'Temperature': 'NA'}",,414 °C,,10.1016/j.jallcom.2023.169647,true,,,,Soft,Ferromagnetic,,Base Alloy,Bulk,,,"{'Value': '1.5', 'Units': 'T', 'Temperature': '0 K'}",,,
,,,,,"{'Value': '10', 'Units': 'A/m', 'Temperature': 'NA'}",,,,10.1016/j.jallcom.2023.169647,true,,,,Soft,Ferromagnetic,,Co Substitution for Fe,Bulk,,,"{'Value': '1.5', 'Units': 'T', 'Temperature': '0 K'}",,,
,,,,,"{'Value': '0', 'Units': 'Oe', 'Temperature': 'NA'}",Cubic spinel,,,10.1016/j.powtec.2023.118364,true,,,Cubic,Soft,Superparamagnetic,,Fe3O4,Bulk,,"{'Value': '0', 'Units': 'emu/g', 'Temperature': 'NA'}","{'Value': '59.6', 'Units': 'emu/g', 'Temperature': 'NA'}",,,
,,,,,"{'Value': '290', 'Units': 'Oe', 'Temperature': 'Room Temperature'}",Cubic,,,10.1016/S0167-577X(02)00780-2,true,"{'Value': '312', 'Units': 'Oe'}",,Spinel,Soft,Ferromagnetic,,Ni0.25Cu0.25Zn0.5Fe2O4,Bulk,,,"{'Value': '75', 'Units': 'emu/g', 'Temperature': '700 °C'}",,,
,,,,,"{'Value': '47', 'Units': 'Oe', 'Temperature': '300 K'}",Inverse Spinel,525 °C,,10.1016/j.jmmm.2008.10.031,true,,"{'a': '8.497', 'b': 'NA', 'c': 'NA'}",Cubic,Soft,Ferromagnetic,,Manganese Zinc Ferrite,Bulk,,,"{'Value': '57', 'Units': 'emu/g', 'Temperature': '300 K'}",,,
,,,,,"{'Value': '8', 'Units': 'Oe', 'Temperature': '300 K'}",Inverse Spinel,435 °C,,10.1016/j.jmmm.2008.10.031,true,,"{'a': '8.454', 'b': 'NA', 'c': 'NA'}",Cubic,Soft,Ferromagnetic,,Manganese Zinc Ferrite,Bulk,,,"{'Value': '53', 'Units': 'emu/g', 'Temperature': '300 K'}",,,
,,,,"{'Value': '0.493', 'Units': 'MA/m', 'Type': 'NA', 'Temperature': 'NA'}",,Hexagonal,,,10.1016/j.jmmm.2004.06.056,true,,,,Soft,Ferromagnetic,,Ba3Co2Fe24O41,Bulk,,,"{'Value': '0.368', 'Units': 'T', 'Temperature': 'NA'}",,,
,,,,"{'Value': '0.724', 'Units': 'MA/m', 'Type': 'NA', 'Temperature': 'NA'}",,Hexagonal,,,10.1016/j.jmmm.2004.06.056,true,,,,Soft,Ferromagnetic,,Ba3Co1.8Fe23.6Cr0.6O41,Bulk,,,"{'Value': '0.356', 'Units': 'T', 'Temperature': 'NA'}",,,
,,,,,"{'Value': '1861', 'Units': 'Oe', 'Temperature': 'NA'}",Hexagonal,655 K,,10.1016/j.jmmm.2011.03.009,true,,,,Hard,Ferromagnetic,4.29 g/cm^3,BaCo2Fe15.2(ZrMn)0.4O27,Bulk,,"{'Value': '34.7', 'Units': 'emu/g', 'Temperature': 'NA'}","{'Value': '67.0', 'Units': 'emu/g', 'Temperature': 'NA'}",,,
,,,,,"{'Value': '4.294', 'Units': 'Oe', 'Temperature': 'Room Temperature'}",Cubic,,,10.1016/j.jallcom.2009.09.069,true,,"{'a': '9.38 Å', 'b': 'NA', 'c': 'NA'}",Spinel,Soft,Soft Ferromagnetic,3.71 g/cm^3,Magnesium Ferrite,Bulk,,,"{'Value': '31.89', 'Units': 'emu/g', 'Temperature': 'Room Temperature'}",Fd3m (227),,
